,debate_name,debate_num,n,s
2383, Dieu existe-t-il ? (nouvelle version),1,423, Dieu explique l'existence des lois de la nature
2384, Dieu existe-t-il ?,0,2122,
2385, La liberté d'expression doit-elle être totale ?,25,1110, C'est par la contrainte que les personnalités se développent
2386, La liberté d'expression doit-elle être limitée ?,24,814, Les critiques peuvent toujours être considérées comme des attaques
2387, La religion est-elle compatible avec le marxisme ?,27,2357,Les religions prônent la fraternité
2388, La croyance en Dieu est-elle bénéfique ?,22,1840,"Ne pas croire en Dieu, c'est ignorer toute une classe de phénomènes"
2389, Le nucléaire est-il une énergie d'avenir ?,33,2522,"Le risque nucléaire, comme calculé par les études probabilistes de sûreté, est largement sous-estimé"
2390, Lénine est-il le précurseur de Staline ?,28,350, Staline est un héritier calomnié de Lénine
2391, Dieu existe-t-il ?,0,2008,
2392, Les hommes doivent-ils rejoindre le combat féministe ?,37,846, Les hommes ont intérêt à en finir avec le machisme pour simplifier et libérer les rapports de séduction
2393, Les religions se rejoignent-elles ?,38,924, Les religions poursuivent des finalités différentes
2394, Le réchauffement climatique est-il dû à l'activité humaine ?,34,809, Les éudes affirmant l'existence du réchauffement climatique commettent des erreurs méthodologiques
2395, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,808, Les étudiants ont un rôle révolutionnaire
2396, Le logiciel libre est-il en déclin ?,30,2440,Les plateformes de développement ne sont pas adaptées aux non-développeurs
2397, Pour ou contre le capitalisme ?,40,198, Le capitalisme est un système économique efficace
2398, L'extrême-gauche doit-elle lutter contre l'islamophobie ?,20,1579, Le terme « islamophobie » est reconnu par la communauté scientifique des sociologues
2399, Faut-il préférer les logiciels libres ?,12,12, Faut-il préférer les logiciels libres ?
2400, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1572, Les travailleurs des services font partie du prolétariat
2401, Faut-il supprimer les notes à l'école ?,18,892, Les notes donnent une idée vague des apprentissages
2402, Faut-il légaliser le cannabis ?,11,1084," Une économie parallèle cherche toujours à élargir son marché, alors qu'une distribution contrôlée cherche au contraire à le réduire"
2403, La liberté d'expression doit-elle être totale ?,25,1087, Une liberté d'expression totale amène au n'importe quoi
2404, Faut-il accueillir davantage de migrants ?,3,2277,Il y a 18% de nouveaux-nés avec un prénom musulman en France
2405, Faut-il légaliser le cannabis ?,11,651, La prohibition du cannabis entrave la prévention et les soins
2406, Pour ou contre le capitalisme ?,40,726, Le capitalisme est le meilleur allié de la démocratie
2407, Faut-il se faire vacciner ?,16,305, Les vaccins sont dangereux
2408, Faut-il accueillir davantage de migrants ?,3,873, Les migrants font vivre des milliers de familles dans les pays pauvres
2409, Dieu existe-t-il ?,0,2049,
2410, Faut-il généraliser le vote électronique ?,7,316, Le vote électronique permet de diminuer les coûts d'une élection
2411, La liberté d'expression doit-elle être totale ?,25,321, Limiter la liberté d'expression n'est pas nécessaire
2412, Faut-il instaurer un revenu de base ?,9,1298, La fin du travail est une prophétie déjà annoncée qui ne s'est pas vérifiée
2413, Faut-il préserver les Murs à pêches de Montreuil ?,13,888, Les Murs à pêches ne sont assez ouverts au public et sont le plus souvent fermés
2414, Faut-il légaliser le cannabis ?,11,594, La dépénalisation du cannabis récréatif ouvrirait la voie à l'utilisation thérapeutique
2415, Faut-il généraliser le vote électronique ?,7,1420, Le contrôle informatique des machines à voter ne doit pas être réservé à des experts
2416, La gauche doit-elle défendre le port du voile islamique ?,23,1583, Le voilement exacerbe les regards salaces et insistants
2417, Espaces ou tabulations ?,2,2, Espaces ou tabulations ?
2418, Faut-il arrêter de manger des animaux ?,4,1010, Manger des animaux n'est pas la norme dans la nature
2419, Faut-il se faire vacciner ?,16,1133, Démontrer scientifiquement l'absence de danger de quoi que ce soit est impossible
2420, Faut-il arrêter de manger des animaux ?,4,2497,Cela favorise les traitements sadiques faits sur les animaux
2421, Les footballeurs professionnels sont-ils trop payés ?,36,2474,C'est le talent qui compte et c'est cela qui est rétribué
2422, Le réchauffement climatique est-il dû à l'activité humaine ?,34,542, L'influence humaine sur le réchauffement climatique fait l'objet d'un large consensus chez les scientifiques ayant des compétences sur la question
2423, Pour ou contre le projet de loi Collomb Asile et immigration ?,42,144, La loi Collomb Asile et immigration rend encore plus rigide le régime linguistique pendant l'instruction de la demande d'asile
2424, Lénine est-il le précurseur de Staline ?,28,1395, Lénine défendait déjà la terreur en 1905
2425, Faut-il accueillir davantage de migrants ?,3,2528,On doit accueillir l'étranger mais pas l'installer à demeure
2426, Faut-il légaliser le cannabis ?,11,1740, Le tabac et l'alcool sont attractifs parce que de nombreux intérêts s'emploient à les rendre attractifs
2427, La religion est-elle compatible avec le marxisme ?,27,1800,Les religions ôtent la responsabilité aux hommes de leurs actions
2428, Dieu existe-t-il ? (nouvelle version),1,1559, Les prétendus miracles reposent sur des témoignages qui ne sont pas fiables
2429, Pour ou contre le capitalisme ?,40,1983,Le capitalisme connait des crises économiques à répétition
2430, La liberté d'expression doit-elle être totale ?,25,1519, Les films et les jeux servent de catharsis aux pulsions violentes
2431, Faut-il privatiser ADP ?,14,2324,L’Etat conservera la propriété du sol
2432, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,2317,Les syndicats et partis ouvriers sont contre-révolutionnaires
2433, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1773, Les ouvriers font un travail de plus en plus intellectuel et qualifié
2434, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,861, Les luttes ouvrières sont en baisse continuelle
2435, La liberté d'expression doit-elle être limitée ?,24,1531, Les lois contre la diffamation déresponsabilisent les citoyens
2436, La religion est-elle compatible avec le marxisme ?,27,1798,Les religions encouragent l'inaction
2437, Les hommes doivent-ils rejoindre le combat féministe ?,37,2531,Les hommes peuvent parler et convaincre d'autres hommes de la nécessité du féminisme
2438, Faut-il généraliser le vote électronique ?,7,967, Le votant électronique peut subir la pression de son entourage
2439, Pour ou contre le projet de loi Collomb Asile et immigration ?,42,664, La restriction quant à la détention de la carte de séjour temporaire 'Vie privée et familiale' rend la protection de la loi Collomb encore plus inatteignable
2440, L'Europe occidentale est-elle en déclin ?,19,1021, Nous ne connaissons pas assez les actions menées par nos élus
2441, Dieu existe-t-il ? (nouvelle version),1,2320,Le concept de Dieu est une création de l'évolution
2442, Faut-il arrêter de manger des animaux ?,4,1002, Manger des animaux conduit à infliger aux animaux d'élevage une violence source de nombreuses souffrances sur le bétail
2443, Le réchauffement climatique est-il dû à l'activité humaine ?,34,2339,La nature anthropique du changement climatique fait l'objet d'un consensus scientifique
2444, L'Europe occidentale est-elle en déclin ?,19,2291,
2445, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1758, Les étudiants dans les laboratoires participent déjà au processus de production
2446, Faut-il incinérer les déchets ménagers à La Réunion ?,8,1056, Pollution de l'eau
2447, La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?,26,638, La méthode Céline Alvarez produit une précocité dans les apprentissages
2448, Pour ou contre le capitalisme ?,40,1989,Le capitalisme a conduit à deux guerres mondiales
2449, La liberté d'expression doit-elle être limitée ?,24,1307, La justice garantit un encadrement raisonnable de la liberté d'expression
2450, Pour ou contre le capitalisme ?,40,2491,Le capitalisme conduit à un appauvrissement culturel et éducatif
2451, Pour ou contre le capitalisme ?,40,522, L'argument du fondement naturel est un sophisme
2452, Faut-il accueillir davantage de migrants ?,3,1070," Si les migrants acceptent de prendre autant de risques, c'est qu'ils n'ont pas le choix"
2453, Faut-il généraliser le vote électronique ?,7,985, Le vote électronique permet une multiplication des consultations citoyennes
2454, La liberté d'expression doit-elle être limitée ?,24,1296, La dignité de la personne humaine est un concept religieux
2455, La liberté d'expression doit-elle être totale ?,25,494, Il y a des opinions qui n'ont pas à être discutées
2456, Faut-il instaurer un revenu de base ?,9,1714, Le modèle de financement du revenu de base proposé par Génération libre bénéficiera seulement aux 1 % les plus riches
2457, L'Europe occidentale est-elle en déclin ?,19,1136, De nombreux milliardaires se trouvent au pouvoir
2458, Les hommes doivent-ils rejoindre le combat féministe ?,37,849, Les hommes peuvent faciliter et encourager l'émancipation de leur compagne
2459, Pour ou contre le communisme ?,41,2200,Le capitalisme va s'effrondrer
2460, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1236, L'éclatement de la production est une réponse de la bourgeoisie à la terreur provoquée par la grève générale de Mai 68
2461, L'extrême-gauche doit-elle lutter contre l'islamophobie ?,20,1299, La focalisation sur la question de la religion conduit à ne pas lutter contre le racisme
2462, Faut-il accueillir davantage de migrants ?,3,753, Le nombre d'étrangers en France est stable depuis 20 ans
2463, Faut-il privatiser ADP ?,14,533, L'Etat n'a pas besoin d'être propriétaire des aéroports de Paris pour assurer un contrôle
2464, Les hommes doivent-ils rejoindre le combat féministe ?,37,1252, L'indifférence à la souffrance est considérée comme une preuve de virilité
2465, L'Europe occidentale est-elle en déclin ?,19,441, Il est difficile de se présenter à une élection en France
2466, La religion est-elle compatible avec le marxisme ?,27,1792,Les religions prônent l'obéissance aux institutions religieuses
2467, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1739, Les travailleurs forment un tout qui concourt collectivement à la production de marchandises
2468, La gauche doit-elle défendre le port du voile islamique ?,23,2363,Le voile est le signe visible que les femmes voilées sont la propriété de leur mari
2469, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1980,Les ouvriers sont trop dociles et influençables
2470, Faut-il accueillir davantage de migrants ?,3,1745, On dit depuis 40 ans que les religions sont en recul
2471, Faut-il incinérer les déchets ménagers à La Réunion ?,8,1140, Des coûts élevés de gestion des mâchefers
2472, Dieu existe-t-il ?,0,1998,
2473, Dieu existe-t-il ? (nouvelle version),1,1634," Sans cause première, la série des causes ne peut être expliquée"
2474, Faut-il généraliser le vote électronique ?,7,1134, De meilleures solutions que le vote électronique existent pour les personnes malades et handicapées
2475, Pour ou contre le capitalisme ?,40,1935,Le capitalisme conduit à une perte du sens de la vie
2476, La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?,26,26, La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?
2477, Faut-il arrêter de manger des animaux ?,4,1072, Tous les animaux ne sont pas sacrés
2478, Les religions se rejoignent-elles ?,38,1111, C'est une déformation chrétienne de ramener les autres voies à l'amour
2479, L'Europe occidentale est-elle en déclin ?,19,968, Le vote blanc n'est pas pris en compte
2480, Le réchauffement climatique est-il dû à l'activité humaine ?,34,1441, Le ralentissement du réchauffement climatique entre 1998 et 2012 s'explique par des facteurs naturels
2481, Faut-il instaurer un revenu de base ?,9,1450, Le revenu de base doit être identique pour riches et pauvres
2482, Faut-il légaliser le cannabis ?,11,720, Le cannabis est dangereux pour la santé physique et mentale
2483, Les hommes doivent-ils rejoindre le combat féministe ?,37,1854,"En renonçant à la virilité, les hommes perdraient leur pouvoir"
2484, Les footballeurs professionnels sont-ils trop payés ?,36,297, Les salaires des footballeurs professionnels sont démesurés
2485, Faut-il boycotter Facebook ?,5,70, Facebook permet de garder des liens avec notre entourage
2486, Lénine est-il le précurseur de Staline ?,28,1389, Lénine conçoit la terreur comme de l'hygiène sociale
2487, Faut-il instaurer un salaire à vie ?,10,241, Le salaire à vie n'incite pas à être productif
2488, Le Front national est-il un parti fasciste ?,29,741," Le Front national n'est pas fasciste juste parce qu'il reprend le slogan 'Ni gauche, ni droite'"
2489, La liberté d'expression doit-elle être limitée ?,24,1648, Tout peut se dire dans un débat méthodique
2490, Lénine est-il le précurseur de Staline ?,28,1698, Lénine a ordonné le pillage de la bourgeoisie
2491, La liberté d'expression doit-elle être limitée ?,24,1204, Il ne faut pas laisser le monopole de la liberté d'expression aux populistes
2492, Lénine est-il le précurseur de Staline ?,28,712, Lénine défendait déjà dans sa jeunesse les vertus de la famine de 1891-1892
2493, Le logiciel libre est-il en déclin ?,30,231, Le respect de la vie privée attire toujours de nouveaux utilisateurs de logiciels libres
2494, Le Front national est-il un parti fasciste ?,29,746, Le Front national pourrait être amené à prendre le pouvoir par la force dans un contexte de crise sociale aiguë
2495, Faut-il accueillir davantage de migrants ?,3,1543, Les migrations appauvrissent les pays du Sud
2496, La liberté d'expression doit-elle être totale ?,25,1531, Les lois contre la diffamation déresponsabilisent les citoyens
2497, Faut-il arrêter de manger des animaux ?,4,376, Ce n'est pas parce que manger des animaux est la norme dans la nature que cela est bon
2498, Lénine est-il le précurseur de Staline ?,28,1720, Les bolchéviques n'avaient d'autre choix que de réprimer la révolte de Kronstadt
2499, Pour ou contre le capitalisme ?,40,2305,Les inégalités augmentent en même temps que la richesse des plus fortunés
2500, Les religions se rejoignent-elles ?,38,1050, On peut hiérarchiser de façon opposée les expériences spirituelles
2501, La religion est-elle compatible avec le marxisme ?,27,1791,Les religions prônent la soumission à un dieu
2502, La gauche doit-elle défendre le port du voile islamique ?,23,1038, On ne peut pas condamner le port du voile islamique dans le monde et le défendre en France
2503, Les hommes doivent-ils rejoindre le combat féministe ?,37,1817,La solidarité masculine est construite sur le dénigrement et l'exclusion des femmes
2504, Le réchauffement climatique est-il dû à l'activité humaine ?,34,1254, L'influence de l'activité solaire sur le réchauffement climatique a été confirmée par l'étude de données hydrologiques en Afrique du Sud
2505, Une spiritualité rationnelle est-elle possible ?,46,2416,La spiritualité n'utilise ni la raison ni l'expérimentation
2506, Pour ou contre le projet de loi Collomb Asile et immigration ?,42,624, La loi Collomb Asile et immigration étend les motifs de refus de délai de départ volontaire à l'utilisation simple d'un titre de séjour ou document d'identité ou de voyage établi sous un faux nom
2507, Faut-il généraliser le vote électronique ?,7,972, Le vote électronique est un investissement élevé au vu de son utilisation
2508, Faut-il généraliser le vote électronique ?,7,408, Des fuites de données sont possibles avec le vote électronique
2509, Faut-il supprimer les frontières ? (nouveau),17,2488,Un monde sans frontières serait un monde en paix
2510, Faut-il accueillir davantage de migrants ?,3,1667, C'est le socialiste Michel Rocard qui a affirmé le premier que la France ne peut pas accueillir toute la misère du monde
2511, Lénine est-il le précurseur de Staline ?,28,2435,Ni sous Lénine ni sous Staline aucun Romanov en exil n'est mort assassiné par le pouvoir bolchevik
2512, Lénine est-il le précurseur de Staline ?,28,1271, La brutalité de Lénine est à rechercher dans son idéologie
2513, Les hommes doivent-ils rejoindre le combat féministe ?,37,2142,La dimension structurelle de la violence est rarement perçue par les hommes
2514, Les footballeurs professionnels sont-ils trop payés ?,36,1925,La filière sports-études permet de faire des études en vue d'une reconversion
2515, Faut-il accueillir davantage de migrants ?,3,602, La France comme l'Europe se sont constituées par des vagues perpétuelles d'immigration
2516, La religion est-elle compatible avec le marxisme ?,27,2356,Les religions prônent le respect
2517, Lénine est-il le précurseur de Staline ?,28,680, Lénine a fiché et expulsé les intellectuels
2518, L'Europe occidentale est-elle en déclin ?,19,2282,
2519, Dieu existe-t-il ? (nouvelle version),1,1550, Le sophisme de composition n'est pas un sophisme
2520, Lénine est-il le précurseur de Staline ?,28,710, Lénine était un être paranoïaque
2521, Faut-il instaurer un revenu de base ?,9,544, L'instauration d'un revenu de base risque de dégrader les conditions de travail
2522, Pour ou contre le capitalisme ?,40,2559,Le capitalisme est le pire des systèmes à l'exception de tous les autres
2523, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,2157,Les syndicats ont intégré la logique gestionnaire
2524, La religion est-elle compatible avec le marxisme ?,27,1803,De nombreux religieux ou courants religieux ont été marxistes
2525, Les hommes doivent-ils rejoindre le combat féministe ?,37,847, Les hommes ont intérêt à en finir avec le machisme pour sortir des rapports de rivalité entre hommes
2526, L'extrême-gauche doit-elle lutter contre l'islamophobie ?,20,390, Dans la lutte contre l'islamophobie il y a des organisations antiféministes
2527, Les religions se rejoignent-elles ?,38,539, L'hindouisme considère toutes les religions comme une manifestation divine
2528, Faut-il légaliser le cannabis ?,11,11, Faut-il légaliser le cannabis ?
2529, Lénine est-il le précurseur de Staline ?,28,694, Lénine a provoqué des famines pour mater des soulèvements
2530, Dieu existe-t-il ? (nouvelle version),1,1189, Il faut se méfier des analogies utilisées pour montrer l'existence d'un dieu
2531, Le Front national est-il un parti fasciste ?,29,558, L'usage du terme « populisme » sert à éviter de qualifier le Front national de raciste
2532, Faut-il instaurer un revenu de base ?,9,1734," Le sondage mené par les réalisateurs du documentaire « Le revenu de base, une impulsion culturelle » montre que le nombre d'heures travaillées baisserait peu dans une société avec un revenu de base"
2533, Faut-il accueillir davantage de migrants ?,3,340, On ne peut pas contrôler l'immigration
2534, Faut-il incinérer les déchets ménagers à La Réunion ?,8,56, Créer de la valeur économique
2535, Lénine est-il le précurseur de Staline ?,28,1257, L'insurrection d’Octobre 1917 est le résultat d'une année d'actions des masses
2536, Lénine est-il le précurseur de Staline ?,28,678, Lénine a fait l'éloge de la terreur
2537, La religion est-elle compatible avec le marxisme ?,27,1805,On peut ne pas respecter toutes les préceptes de sa religion
2538, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,2154,Il y a d'autres sujets révolutionnaires
2539, Lénine est-il le précurseur de Staline ?,28,1770, Les éléments les plus conscients et les plus dévoués de Kronstadt étaient en train de combattre sur le front de la guerre civile
2540, L'extrême-gauche doit-elle lutter contre l'islamophobie ?,20,1108, C'est justement parce que l'islam est la religion des opprimés qu'il ne faut pas céder sur les préjugés religieux
2541, Dieu existe-t-il ? (nouvelle version),1,1512, Les expériences dites mystiques sont dues à des troubles psychiques
2542, Lénine est-il le précurseur de Staline ?,28,1387, Lénine a violemment réprimé les socialistes en 1921
2543, Pour ou contre le capitalisme ?,40,1418, Le communisme n'a jamais été réellement mis en place
2544, Faut-il instaurer un revenu de base ?,9,396, Déconnecter revenu et travail est un non-sens économique
2545, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1737, Le statut des travailleurs intellectuels est passé de celui d'indépendants à celui de salariés
2546, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,573, La classe ouvrière a perdu son pouvoir économique du fait de la désindustrialisation
2547, Faut-il arrêter de manger des animaux ?,4,941, Les substituts végans ne sont pas nécessaires
2548, Dieu existe-t-il ?,0,2027,
2549, La liberté d'expression doit-elle être totale ?,25,1508," Les droits de l'homme n'interdisent pas les propos racistes, sexistes, etc."
2550, La liberté d'expression doit-elle être limitée ?,24,1511, Les Etats bloquent l'accès à certains sites
2551, La croyance en Dieu est-elle bénéfique ?,22,1846,La religion conduit à obéir aveuglément à autre chose qu'à la raison
2552, Sommes-nous libres de nos décisions ?,45,2344,Rien de scientifique ne le montre
2553, Dieu existe-t-il ? (nouvelle version),1,765, Le principe de causalité ne s'applique pas à l'univers
2554, Faut-il instaurer un revenu de base ?,9,507, Instaurer un revenu de base conduit à une baisse du nombre d'heures travaillées
2555, Faut-il accueillir davantage de migrants ?,3,1113, Ce n'est pas la connaissance de l'autre qui abolira les conflits
2556, L'Europe occidentale est-elle en déclin ?,19,2281,
2557, Faut-il généraliser le vote électronique ?,7,894, Les ordinateurs personnels ne sont pas assez sécurisés pour le vote électronique
2558, La gauche doit-elle défendre le port du voile islamique ?,23,840, Les hommes ne sont pas soumis à des obligations du même type que le voile islamique
2559, Faut-il instaurer un salaire à vie ?,10,243, Le salaire à vie permet d'en finir avec la propriété lucrative
2560, La liberté d'expression doit-elle être totale ?,25,1594, Limiter la liberté d'expression n'est pas interdire la critique d'un régime
2561, Lénine est-il le précurseur de Staline ?,28,1359, Lénine a encouragé les actes de terreur envers les paysans
2562, Dieu existe-t-il ?,0,0, Dieu existe-t-il ?
2563, Le réchauffement climatique est-il dû à l'activité humaine ?,34,1342, La réduction de la couverture nuageuse diminue également l'impact de l'effet de serre
2564, Faut-il accueillir davantage de migrants ?,3,877, Les migrants relanceront la démographie en Europe
2565, Dieu existe-t-il ? (nouvelle version),1,2216,Les textes sacrés sont la création d'êtres humains
2566, Pour ou contre le capitalisme ?,40,663, La recherche du profit est un puissant moteur d'innovation
2567, Lénine est-il le précurseur de Staline ?,28,1361, Lénine a entrepris un génocide de classe contre les Cosaques
2568, Faut-il arrêter de manger des animaux ?,4,1049, On peut continuer à manger des animaux quand il n'y a pas de mauvaises récoltes
2569, Lénine est-il le précurseur de Staline ?,28,1385, Lénine a violemment réprimé les socialistes en 1919 avec la condamnation de Maria Spiridonova
2570, La liberté d'expression doit-elle être totale ?,25,466, Il faut limiter la liberté d'expression pour lutter contre le racisme
2571, La liberté d'expression doit-elle être totale ?,25,992," Limiter la liberté d'expression, c'est appauvrir la pensée"
2572, L'Europe occidentale est-elle en déclin ?,19,1488, Les campagnes électorales sont financées par de grandes puissances économiques
2573, La liberté d'expression doit-elle être limitée ?,24,462, Il faut limiter la liberté d'expression pour lutter contre la pornographie
2574, La religion est-elle compatible avec le marxisme ?,27,292, Les religions sont incompatibles avec l'action révolutionnaire
2575, Faut-il accueillir davantage de migrants ?,3,881, Les migrants travaillent à des postes que les Européens ne veulent pas occuper
2576, Faut-il légaliser le cannabis ?,11,656, La prohibition passe à côté des motifs de la consommation
2577, Faut-il préserver les Murs à pêches de Montreuil ?,13,487, Il n'y a pas d'intérêt à préserver les savoir-faire ancestraux des Murs à pêches de Montreuil
2578, Dieu existe-t-il ?,0,2015,
2579, La liberté d'expression doit-elle être limitée ?,24,477, Il faut protéger le secret défense
2580, Les religions se rejoignent-elles ?,38,1502, Les différents sages n'affirment pas l'unité des religions
2581, La liberté d'expression doit-elle être totale ?,25,1310, La liberté d'expression est toujours potentiellement transgressive
2582, Faut-il légaliser le cannabis ?,11,1293," La dépendance à une drogue ne se produit pas indépendamment de la personne et de son environnement. La drogue est un moyen d'adaptation à la vie, pas une cause"
2583, La liberté d'expression doit-elle être totale ?,25,1263, L'interdiction incite à la transgression
2584, La liberté d'expression doit-elle être totale ?,25,1327, La notion de harcèlement est floue
2585, Faut-il incinérer les déchets ménagers à La Réunion ?,8,1341, La règlementation ne couvre pas tous les risques
2586, Dieu existe-t-il ? (nouvelle version),1,1628, Qu'on ne soit pas capable d'expliquer Dieu n'empêche pas qu'il puisse exister
2587, Lénine est-il le précurseur de Staline ?,28,1772, Les mutins de Kronstadt en 1921 étaient touchés par la démoralisation
2588, Pour ou contre le capitalisme ?,40,1346, La recherche du profit ne devrait pas être la source de motivation principale de l'innovation
2589, L'Europe occidentale est-elle en déclin ?,19,1022, Nous ne pouvons pas révoquer nos élus
2590, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,585, La classe ouvrière n'a jamais été aussi importante à l'échelle mondiale
2591, Le Front national est-il un parti fasciste ?,29,944, Les thèmes fascistes du Front national sont toujours présents en « off »
2592, La liberté d'expression doit-elle être totale ?,25,1608, On ne doit pas rétablir de délit de blasphème
2593, Les religions se rejoignent-elles ?,38,936, Les religions visent à se libérer du moi
2594, Faut-il accueillir davantage de migrants ?,3,379, Certains migrants véhiculent un nouvel antisémitisme
2595, Peut-on changer le monde sans prendre le pouvoir ?,39,343, On peut chacun faire des petites actions qui en groupe peuvent changer le monde
2596, La gauche doit-elle défendre le port du voile islamique ?,23,634, La majorité des femmes choisissent librement de porter le voile islamique
2597, La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?,26,152, La méthode Céline Alvarez est très efficace
2598, La gauche doit-elle défendre le port du voile islamique ?,23,405, Des femmes se battent au péril de leur vie dans le monde pour ne pas porter le voile
2599, Faut-il accueillir davantage de migrants ?,3,2297,On vend du rêve alors que nos pays sont en crise
2600, Faut-il instaurer un revenu de base ?,9,1811,Les expériences passées montrent le contraire
2601, Les hommes doivent-ils rejoindre le combat féministe ?,37,850, Les hommes peuvent faire reculer les violences sexistes en prenant au sérieux la parole des femmes victimes
2602, Faut-il préserver les Murs à pêches de Montreuil ?,13,83, Il faut construire des logements dans les Murs à pêches de Montreuil
2603, La liberté d'expression doit-elle être limitée ?,24,1186, Il faut mettre hors la loi ce qui porte préjudice
2604, Les religions se rejoignent-elles ?,38,818, Les divergences religieuses viennent de déformations dues à l'éloignement de l'expérience mystique
2605, Faut-il incinérer les déchets ménagers à La Réunion ?,8,1284, La combustion génère des gaz qui contribuent à l'effet de serre.
2606, La liberté d'expression doit-elle être limitée ?,24,1220, Interdire des discours ne lutte pas contre les vraies causes des discriminations et de la haine
2607, Faut-il légaliser le cannabis ?,11,1259, L'interdiction du cannabis est plus dissuasive qu'attractive
2608, Dieu existe-t-il ?,0,2054,
2609, La liberté d'expression doit-elle être limitée ?,24,1788,L'invocation du trouble à l'ordre public sert à étouffer la contestation
2610, Faut-il incinérer les déchets ménagers à La Réunion ?,8,428, Diminuer le coût de traitement des déchets
2611, Faut-il arrêter de manger des animaux ?,4,836, Les herbivores n'ont pas moins d'animalité
2612, Faut-il se faire vacciner ?,16,2343,Les autorités servent les intérêts des puissants
2613, Faut-il se faire vacciner ?,16,74, Il existe de meilleurs alternatives aux vaccins
2614, La gauche doit-elle défendre le port du voile islamique ?,23,1348, La religion est bien plus prescriptive que la mode ou la domination masculine
2615, Faut-il se faire vacciner ?,16,1091, Un manque de preuves de l’innocuité des vaccins
2616, L'Europe occidentale est-elle en déclin ?,19,267, Les libertés fondamentales sont respectées en France
2617, La gauche doit-elle défendre le port du voile islamique ?,23,1157," En Iran, les femmes ne se battent pas contre le voile mais contre l'obligation de le porter"
2618, Les religions se rejoignent-elles ?,38,932, Les religions sont des révélations progressives de l'unique Vérité
2619, Faut-il accueillir davantage de migrants ?,3,2160,L'histoire est une série de colonisations successives
2620, Pour ou contre le capitalisme ?,40,2222,Le capitalisme est incapable d'offrir un système de santé de qualité pour tous
2621, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1976,La perte de la fierté et de la dignité ouvrières
2622, Faut-il instaurer un salaire à vie ?,10,10, Faut-il instaurer un salaire à vie ?
2623, Faut-il légaliser le cannabis ?,11,588, La consommation de cannabis augmente en France
2624, Faut-il incinérer les déchets ménagers à La Réunion ?,8,385, Coûts de transport des déchets dangereux issus de l'incinération
2625, L'Europe occidentale est-elle en déclin ?,19,1020, Nous n'élisons pas toutes les personnes qui sont au pouvoir politique en France
2626, Faut-il généraliser le vote électronique ?,7,1147, Des mesures de sécurité existent pour les machines à voter
2627, Sommes-nous libres de nos décisions ?,45,1068, Seules des influences extérieures à l'individu peuvent le priver de liberté
2628, Faut-il arrêter de manger des animaux ?,4,2499,Ces conditions de travail peuvent être améliorées
2629, Le réchauffement climatique est-il dû à l'activité humaine ?,34,79, Il existe un consensus scientifique sur le lien entre le réchauffement climatique et l'activité humaine
2630, Faut-il généraliser le vote électronique ?,7,1651, Une authentification forte est possible pour voter par internet
2631, La liberté d'expression doit-elle être limitée ?,24,1071, Tolérer les propos blessants est un mal nécessaire
2632, Le néolibéralisme va-t-il s'effondrer ?,32,32, Le néolibéralisme va-t-il s'effondrer ?
2633, La liberté d'expression doit-elle être limitée ?,24,1310, La liberté d'expression est toujours potentiellement transgressive
2634, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,569, La classe ouvrière a la conscience révolutionnaire du fait de ses organisations et du travail de ses militants
2635, Wikipédia est-elle fiable ?,47,2422,Une encyclopédie modifiable par n'importe qui
2636, L'Europe occidentale est-elle en déclin ?,19,1017, N'importe qui peut intégrer un parti politique et candidater à une élection française
2637, Dieu existe-t-il ? (nouvelle version),1,2540,L'évolution produit de la morale parce qu'elle obéit à la volonté divine
2638, Faut-il légaliser le cannabis ?,11,1289, La dangerosité du cannabis est faible. On ne peut pas mourir d'une overdose
2639, Dieu existe-t-il ? (nouvelle version),1,1112, Ce n'est pas « tout » mais « tout effet » qui a une cause
2640, Le logiciel libre est-il en déclin ?,30,73, Il est difficile de contribuer aux logiciels libres
2641, La liberté d'expression doit-elle être totale ?,25,2464,Qui peut décider des opinions qui ne peuvent pas être discutées
2642, Faut-il accueillir davantage de migrants ?,3,2245,Le sens de l'histoire est au retour des identités
2643, Dieu existe-t-il ? (nouvelle version),1,175, La souffrance et le mal contredisent l'existence d'un dieu
